date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:36	9039/9039	---M--	200	added ('OK')	text/xml	etag:%2207270b027fe95f6f8f3e494ac977c653%22	http://www.samomatky.cz/?feed=rss2&cat=5	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/index25cd.html	(from http://www.samomatky.cz/?cat=5)
14:07:36	9157/9157	---M--	200	added ('OK')	text/css	etag:%22c0e0673cf10d01:0%22	http://www.samomatky.cz/wp-content/plugins/wp-review/assets/css/wp-review.css?ver=3.2.7	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-content/plugins/wp-review/assets/css/wp-review2c3d.css	(from http://www.samomatky.cz/?p=1)
14:07:37	763/763	---M--	200	added ('OK')	text/xml	etag:%22c6f979f2a7453d431f6ffc10aed4d388%22	http://www.samomatky.cz/?feed=rss2&p=26	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/index8956.html	(from http://www.samomatky.cz/?p=26)
14:07:39	715/715	---M--	200	added ('OK')	text/xml	etag:%22c6f979f2a7453d431f6ffc10aed4d388%22	http://www.samomatky.cz/?feed=rss2&p=6	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/index1d26.html	(from http://www.samomatky.cz/?p=6)
14:07:39	3593/3593	---M--	200	added ('OK')	image/jpeg	etag:%22d0108f4e428d01:0%22	http://www.samomatky.cz/wp-content/uploads/2015/01/signle-85x65.jpg	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-content/uploads/2015/01/signle-85x65.jpg	(from http://www.samomatky.cz/?p=1)
14:07:40	1408/1408	---M--	200	added ('OK')	text/xml	etag:%22c6f979f2a7453d431f6ffc10aed4d388%22	http://www.samomatky.cz/?feed=rss2&p=1	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/indexe539.html	(from http://www.samomatky.cz/?p=1)
14:07:40	1923/1923	---M--	200	added ('OK')	application/javascript	etag:%221e436a3cf10d01:0%22	http://www.samomatky.cz/wp-content/plugins/wp-review/assets/js/main.js?ver=3.2.7	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-content/plugins/wp-review/assets/js/main2c3d.js	(from http://www.samomatky.cz/?p=1)
14:07:41	5979/5979	---M--	200	added ('OK')	text/css	etag:%2204e40a888b5cf1:0%22	http://www.samomatky.cz/wp-includes/css/buttons.min.css?ver=4.0	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-includes/css/buttons.minf9b8.css	(from http://www.samomatky.cz/wp-login.php)
14:07:41	24539/24539	---M--	200	added ('OK')	text/html	date:Thu,%2009%20Jun%202016%2012:07:42%20GMT	http://www.samomatky.cz/?p=1&replytocom=1	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/index301c.html	(from http://www.samomatky.cz/?p=1)
14:07:42	40450/40450	---M--	200	added ('OK')	text/css	etag:%2201e2cb623bacf1:0%22	http://www.samomatky.cz/wp-includes/css/dashicons.min.css?ver=4.0	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-includes/css/dashicons.minf9b8.css	(from http://www.samomatky.cz/wp-login.php)
14:07:44	18780/18780	---M--	200	added ('OK')	text/css	etag:%220ca60843ac7cf1:0%22	http://www.samomatky.cz/wp-admin/css/login.min.css?ver=4.0	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-admin/css/login.minf9b8.css	(from http://www.samomatky.cz/wp-login.php)
14:07:45	2307/2307	---M--	200	added ('OK')	text/html	date:Thu,%2009%20Jun%202016%2012:07:46%20GMT	http://www.samomatky.cz/wp-login.php?action=lostpassword	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-loginc2b6.html	(from http://www.samomatky.cz/wp-login.php)
14:07:47	228/228	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2009%20Jun%202016%2012:07:47%20GMT	http://www.samomatky.cz/wp-admin/	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-admin/index.html	(from http://www.samomatky.cz/wp-login.php)
14:07:47	154955/154955	---M--	200	added ('OK')	image/jpeg	etag:%22b0f2a4d36010d01:0%22	http://www.samomatky.cz/wordpress/wp-content/uploads/2014/12/svetpanenka.jpg	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wordpress/wp-content/uploads/2014/12/svetpanenka.jpg	(from http://www.samomatky.cz/?p=1)
14:07:48	2682/2682	---M--	200	added ('OK')	text/html	date:Thu,%2009%20Jun%202016%2012:07:49%20GMT	http://www.samomatky.cz/wp-login.php?redirect_to=http%3A%2F%2Fwww.samomatky.cz%2Fwordpress%2Fwp-admin%2F%26reauth=1	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-logind38a.html	(from http://www.samomatky.cz/wordpress/wp-admin/)
14:07:49	5184/5184	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22c0e0673cf10d01:0%22	http://www.samomatky.cz/wp-content/plugins/wp-review/assets/fonts/font-icons.eot	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-content/plugins/wp-review/assets/fonts/font-icons.eot	(from http://www.samomatky.cz/wp-content/plugins/wp-review/assets/css/wp-review.css?ver=3.2.7)
14:07:49	2872/2872	---M--	200	added ('OK')	font/x-woff	etag:%22c0e0673cf10d01:0%22	http://www.samomatky.cz/wp-content/plugins/wp-review/assets/fonts/font-icons.woff	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-content/plugins/wp-review/assets/fonts/font-icons.woff	(from http://www.samomatky.cz/wp-content/plugins/wp-review/assets/css/wp-review.css?ver=3.2.7)
14:07:50	5008/5008	---M--	200	added ('OK')	application/octet-stream	etag:%22c0e0673cf10d01:0%22	http://www.samomatky.cz/wp-content/plugins/wp-review/assets/fonts/font-icons.ttf	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-content/plugins/wp-review/assets/fonts/font-icons.ttf	(from http://www.samomatky.cz/wp-content/plugins/wp-review/assets/css/wp-review.css?ver=3.2.7)
14:07:50	1290/1290	---M--	200	added ('OK')	image/svg+xml	etag:%22c0e0673cf10d01:0%22	http://www.samomatky.cz/wp-content/plugins/wp-review/assets/fonts/font-icons.svg	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-content/plugins/wp-review/assets/fonts/font-icons.svg	(from http://www.samomatky.cz/wp-content/plugins/wp-review/assets/css/wp-review.css?ver=3.2.7)
14:07:51	37498/37498	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2201e2cb623bacf1:0%22	http://www.samomatky.cz/wp-includes/fonts/dashicons.eot	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-includes/fonts/dashicons.eot	(from http://www.samomatky.cz/wp-includes/css/dashicons.min.css?ver=4.0)
14:07:52	2244/2244	---M--	200	added ('OK')	image/gif	etag:%220e5b6a98928cf1:0%22	http://www.samomatky.cz/wp-admin/images/loading.gif	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-admin/images/loading.gif	(from http://www.samomatky.cz/wp-admin/css/login.min.css?ver=4.0)
14:07:52	3113/3113	---M--	200	added ('OK')	image/png	etag:%220e5b6a98928cf1:0%22	http://www.samomatky.cz/wp-admin/images/w-logo-blue.png?ver=20131202	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-admin/images/w-logo-blue7a53.png	(from http://www.samomatky.cz/wp-admin/css/login.min.css?ver=4.0)
14:07:53	1521/1521	---M--	200	added ('OK')	image/svg+xml	etag:%2201d1a92bfddce1:0%22	http://www.samomatky.cz/wp-admin/images/wordpress-logo.svg?ver=20131107	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-admin/images/wordpress-logo7d6b.svg	(from http://www.samomatky.cz/wp-admin/css/login.min.css?ver=4.0)
14:07:54	2672/2672	---M--	200	added ('OK')	text/html	date:Thu,%2009%20Jun%202016%2012:07:54%20GMT	http://www.samomatky.cz/wp-login.php?redirect_to=http%3A%2F%2Fwww.samomatky.cz%2Fwp-admin%2F%26reauth=1	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-login6278.html	(from http://www.samomatky.cz/wp-admin/)
14:07:54	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jun%202016%2012:07:54%20GMT	http://www.samomatky.cz/wordpress/wp-admin/&reauth=1	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wordpress/wp-admin/&reauth=1.3f.delayed	(from http://www.samomatky.cz/wp-login.php?redirect_to=http%3A%2F%2Fwww.samomatky.cz%2Fwordpress%2Fwp-admin%2F%26reauth=1)
14:07:56	3420/3420	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2009%20Jun%202016%2012:07:56%20GMT	http://www.samomatky.cz/wp-admin/&reauth=1	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-admin/&reauth=1.40.delayed	(from http://www.samomatky.cz/wp-login.php?redirect_to=http%3A%2F%2Fwww.samomatky.cz%2Fwp-admin%2F%26reauth=1)
